order_id,item_id,item_name,qtt,InsertTime
17051761,7321,"מכנסי דריל (דגמ""ח) לילדים בגוונים כהים - מידה 6",1,2024-03-10 13:18:52.670
17036109,7453,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 11-12,1,2024-03-10 13:18:52.670
17036109,1951,זוג ציציות מוכנות לילדים מידה 5,1,2024-03-10 13:18:52.670
17036109,2090,ציצית מוכנה לגברים מידה 9,1,2024-03-10 13:18:52.670
17065771,1951,זוג ציציות מוכנות לילדים מידה 5,1,2024-03-10 13:18:52.670
17076153,8081,מטפחת מרובעת חלקה עם סיומת פרנזים - ירוק בקבוק,1,2024-03-10 13:18:52.670
17076153,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17076153,7580,זוג סינרים לפעוטות - בנים,1,2024-03-10 13:18:52.670
17076948,7449,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 3-4,1,2024-03-10 13:18:52.670
17076948,1950,זוג ציציות מוכנות לילדים מידה 4,3,2024-03-10 13:18:52.670
17076948,5377,זוג גופיות ציצית לילדים - מידה 10,3,2024-03-10 13:18:52.670
17051333,1950,זוג ציציות מוכנות לילדים מידה 4,2,2024-03-10 13:18:52.670
17052678,6517,תשיעיית גרבי גברים 42-45 - אריזת חיסכון,1,2024-03-10 13:18:52.670
17062807,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17062807,5020,זוג גופיות ציצית לילדים - מידה 8,1,2024-03-10 13:18:52.670
17061979,5625,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 2,1,2024-03-10 13:18:52.670
17069568,7021,שמיניית לבנים צבעוניות ילדים מידה 14-16,1,2024-03-10 13:18:52.670
17069568,8256,שעון יד מחוגים לגבר כסוף עם רקע כחול ורצועה שחורה - Q&Q,2,2024-03-10 13:18:52.670
17069568,7495,שעון יד מחוגים לגבר שחור עם רצועה שחורה רקע לבן - קסיו,1,2024-03-10 13:18:52.670
17076968,7452,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 9-10,1,2024-03-10 13:18:52.670
17076968,8090,זוג גרביון 80 דנייר אטום שחור - מידה l,1,2024-03-10 13:18:52.670
17076968,5020,זוג גופיות ציצית לילדים - מידה 8,1,2024-03-10 13:18:52.670
17076968,736,שישיית גרביונים בצבע לבן 70 דנייר מידה 8-10,1,2024-03-10 13:18:52.670
17050351,5981,שישיית גרביונים לילדות 50 דנייר אטום מלון - מידה 10-12,1,2024-03-10 13:18:52.670
17050351,5020,זוג גופיות ציצית לילדים - מידה 8,2,2024-03-10 13:18:52.670
17067304,7017,שמיניית לבנים צבעוניות ילדים מידה 6-8,1,2024-03-10 13:18:52.670
17063683,7019,שמיניית לבנים צבעוניות ילדים מידה 10-12,1,2024-03-10 13:18:52.670
17057219,5377,זוג גופיות ציצית לילדים - מידה 10,1,2024-03-10 13:18:52.670
17078635,5020,זוג גופיות ציצית לילדים - מידה 8,1,2024-03-10 13:18:52.670
17068901,8233,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 10,2,2024-03-10 13:18:52.670
17050167,6157,שישיית גרביוני כותנה לבן בדיגום עדין מידה 5-6,1,2024-03-10 13:18:52.670
17052718,8082,מטפחת מרובעת חלקה עם סיומת פרנזים- חרדל,1,2024-03-10 13:18:52.670
17076070,1952,זוג ציציות מוכנות לילדים מידה 6,1,2024-03-10 13:18:52.670
17038194,1925,לבנים צבעוניות ילדות שמינייה מידה 8-10,1,2024-03-10 13:18:52.670
17038194,7015,שמיניית לבנים צבעוניות ילדים מידה 2-4,1,2024-03-10 13:18:52.670
17038194,7321,"מכנסי דריל (דגמ""ח) לילדים בגוונים כהים - מידה 6",1,2024-03-10 13:18:52.670
17055852,7980,שתי זוגות גרביון לילדות 48 דנייר שחור - מידה 2-4,1,2024-03-10 13:18:52.670
17041501,8089,זוג גרביון 80 דנייר אטום שחור - מידה m,1,2024-03-10 13:18:52.670
17041501,6155,שישיית גרביוני כותנה לבן בדיגום עדין מידה 3-4,1,2024-03-10 13:18:52.670
17071958,8081,מטפחת מרובעת חלקה עם סיומת פרנזים - ירוק בקבוק,1,2024-03-10 13:18:52.670
17071958,8083,מטפחת מרובעת חלקה עם סיומת פרנזים - פודרה,1,2024-03-10 13:18:52.670
17071958,8252,חפתים בקופסא דגם עגול זהב,1,2024-03-10 13:18:52.670
17071958,8255,חפתים בקופסא דגם עגול זהב עם שחור,1,2024-03-10 13:18:52.670
17052155,5835,ניפוץ לשמה - פתיל עבה,1,2024-03-10 13:18:52.670
17047261,5020,זוג גופיות ציצית לילדים - מידה 8,1,2024-03-10 13:18:52.670
17058401,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17058401,7024,שישיית גרביוני כותנה לבן חלק מידה 7-8,1,2024-03-10 13:18:52.670
17054783,1924,לבנים צבעוניות ילדות שמינייה מידה 6-8,1,2024-03-10 13:18:52.670
17077455,5384,שישיית ירכוני נשים 50 דנייר אטום מלון - colanta,1,2024-03-10 13:18:52.670
17077455,6164,שישיית ירכוני נשים 50 דנייר אטום שחור - colanta,1,2024-03-10 13:18:52.670
17077455,808,שישיית גרביונים בצבע לבן 70 דנייר מידה 2-4,1,2024-03-10 13:18:52.670
17058508,5377,זוג גופיות ציצית לילדים - מידה 10,1,2024-03-10 13:18:52.670
17058508,7322,"מכנסי דריל (דגמ""ח) לילדים בגוונים כהים - מידה 8",1,2024-03-10 13:18:52.670
17066819,5020,זוג גופיות ציצית לילדים - מידה 8,1,2024-03-10 13:18:52.670
17066819,5377,זוג גופיות ציצית לילדים - מידה 10,1,2024-03-10 13:18:52.670
17072730,5020,זוג גופיות ציצית לילדים - מידה 8,1,2024-03-10 13:18:52.670
17076213,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17079566,8080,מטפחת מרובעת חלקה עם סיומת פרנזים - אפור כהה,1,2024-03-10 13:18:52.670
17079566,8081,מטפחת מרובעת חלקה עם סיומת פרנזים - ירוק בקבוק,1,2024-03-10 13:18:52.670
17079566,8159,שתי זוגות גרביון לילדות 80 דנייר שחור אטום מידה 8-10,1,2024-03-10 13:18:52.670
17079566,7016,שמיניית לבנים צבעוניות ילדים מידה 4-6,1,2024-03-10 13:18:52.670
17079566,7026,שישיית גרביוני כותנה לבן חלק מידה 9-10,1,2024-03-10 13:18:52.670
17085109,7015,שמיניית לבנים צבעוניות ילדים מידה 2-4,1,2024-03-10 13:18:52.670
